CBBC_Code,CBBC_Name,Trade_Date,No_of_CBBC_Bought_,Average_Price_per_CBBC_Bought_,No_of_CBBC_Sold_,Average_Price_per_CBBC_Sold_,No._of_CBBC_still_out_in_market_,OutRatio,Total_Issue_Size_,Trading_Currency,Day_High,Day_Low,Closing_Price,Volume,Turnover,Issuer,Underlying,Bull_Bear,CBBC_Type,CBBC_Category,Listing_Date,Last_Trading_Date,Maturity_Date,MCE,Strike_Call_Currency,Strike_Level,Call_Level,Ent_Ratio,Delisting_Date,Target,Expiry,Str_Cal_Distance_abs,MaturityT,Underlying_Pre_Close,Dis_to_Call,Rela_Dis_to_Call,Dis_to_Call_abs,AQC,Underlying_Open,Underlying_Close,Open_Price,UNIQUE,TimeToMaturity,FinCost,DayNewHolding,DayNetTurnover,LastHigh_Low,LastTurnover,OutContracts,Rank_Out,Rank_Turn,Rank_DayNetTurn,DayOut,absDayOut,Rank_DayOut,DayReturn,LastDayReturn,RelaDisToK,RelaDisToC,StarIssuer,Theo_Lev,Last_Rank_Out,Last_Rank_Turn,Last_DayOut,Last_Theo_Lev,Last_OutRatio,Last_DayOut_p,Last_DayOut_n,LastDayReturn_p,LastDayReturn_n
66110,UB#HSI  RC2101O,2019-05-28,0,0.0,0,0.0,0,0.0,200000000,HKD,0.0,0.0,0.109,0,0,UB,HSI,Bull      ,Standard  ,R,2019-01-18,2019-08-05 00:00:00,2021-01-28,Y,-,26150.0,26250.0,10000.0,2019-08-06 00:00:00,HSI,2101,0.0038095238095238095,741.0,27288.09,-1038.0900000000001,0.03954628571428572,1038.0900000000001,AQC,27274.83,27390.81,0.10300000000000001,66110UB#HSI  RC2101O,611.0,0.04168260038240918,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8067692307692308,0.0,0.0,1.0,0.058252427184466216,-0.03738317757009346,0.04124058701740769,0.03757420302894653,True,25.129183486238535,1.0,1.0,0.0,26.493291262135923,0.0,0.0,0.0,0.0,-0.03738317757009346
64939,JP#HSI  RP1908V,2019-06-17,0,0.0,0,0.0,0,0.0,200000000,HKD,0.0,0.0,0.425,0,0,JP,HSI,Bear      ,Standard  ,R,2019-04-17,2019-08-28 00:00:00,2019-08-29,N,-,31248.0,31148.0,10000.0,2019-08-30 00:00:00,HSI,1908,0.003210479003467317,134.0,27118.35,4029.6500000000015,0.1293710671632208,4029.6500000000015,AQC,27252.45,27227.16,0.435,64939JP#HSI  RP1908V,73.0,0.13600870455709166,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.797924297924298,0.0,0.0,1.0,-0.02298850574712641,0.03571428571428581,0.14661250639850726,0.1429431115367609,True,6.406390588235294,1.0,1.0,0.0,6.234103448275862,0.0,0.0,0.0,0.03571428571428581,0.0
66287,JP#HSI  RC2012W,2019-05-21,40000,0.15,-40000,-0.128,370000,0.19,200000000,HKD,0.15,0.128,0.128,80000,11120,JP,HSI,Bull      ,Standard  ,R,2019-01-18,2019-08-05 00:00:00,2020-12-30,Y,-,26100.0,26200.0,10000.0,2019-08-06 00:00:00,HSI,2012,0.003816793893129771,712.0,27787.61,-1587.6100000000006,0.06059580152671758,1587.6100000000006,AQC,27671.4,27657.24,0.135,66287JP#HSI  RC2012W,589.0,0.04904214559386973,0.0,0.0,0.0030000000000000027,45180.0,76.0,0.3676202069385271,0.3992696287279367,0.8009738283627511,0.0,0.0,1.0,-0.051851851851851816,-0.08163265306122447,0.05678787484550841,0.05317403528552951,True,21.60721875,0.3798780487804878,0.3432926829268293,28.0,20.583414814814816,0.19,28.0,0.0,0.0,-0.08163265306122447
68193,VT#HSI  NP1911A,2019-08-22,0,0.0,0,0.0,0,0.0,80000000,HKD,0.0,0.0,0.47,0,0,VT,HSI,Bear      ,Standard  ,N,2019-02-12,-,2019-11-28,N,-,30500.0,30500.0,10000.0,-,HSI,1911,0.0,289.0,26270.04,4229.959999999999,0.13868721311475407,4229.959999999999,AQC,26272.91,26048.72,0.45,68193VT#HSI  NP1911A,98.0,0.1540983606557377,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8175716900549115,0.0,0.0,1.0,0.04444444444444451,0.0,0.1608915799582155,0.1608915799582155,False,5.54228085106383,1.0,1.0,0.0,5.837786666666667,0.0,0.0,0.0,0.0,0.0
62334,SG#HSI  RP1910B,2019-08-07,350000,0.35,-200000,-0.3675,1520000,0.61,250000000,HKD,0.375,0.35,0.35,550000,196000,SG,HSI,Bear      ,Standard  ,R,2019-05-15,-,2019-10-30,N,-,29310.0,29210.0,10000.0,-,HSI,1910,0.003423485107839781,168.0,25976.24,3233.7599999999984,0.11070729202327964,3233.7599999999984,AQC,25977.72,25997.03,0.35,62334SG#HSI  RP1910B,84.0,0.11941316956670078,-150000.00000000012,-53454.54545454549,0.0,88750.0,305.0,0.19776714513556617,0.20095693779904306,0.9074960127591707,-30.0,30.0,0.2107883817427386,0.0,0.06060606060606033,0.1282745367953769,0.12442508426451585,True,7.427722857142856,0.23494423791821561,0.33605947955390336,-50.0,7.4217828571428575,0.67,0.0,-50.0,0.06060606060606033,0.0
68927,SG#HSI  RC2012G,2019-01-09,0,0.0,0,0.0,80000,0.04,200000000,HKD,0.0,0.0,0.325,0,0,SG,HSI,Bull      ,Standard  ,R,2018-10-19,-,2020-12-30,N,-,22708.0,22808.0,10000.0,-,HSI,2012,0.0043844265170115745,803.0,25875.45,-3067.4500000000007,0.13449009119607158,3067.4500000000007,AQC,26237.29,26462.32,0.275,68927SG#HSI  RC2012G,721.0,0.14312136691914742,0.0,0.0,0.0,0.0,16.0,0.7146974063400576,1.0,0.7252641690682037,0.0,0.0,1.0,0.18181818181818166,0.0,0.13451427338722866,0.13070290414901847,True,8.142252307692308,0.7231695085255767,1.0,0.0,9.409254545454546,0.04,0.0,0.0,0.0,0.0
67140,SG#HSI  RP1907U,2019-03-01,0,0.0,0,0.0,130000,0.07,200000000,HKD,0.0,0.0,0.201,0,0,SG,HSI,Bear      ,Standard  ,R,2019-02-28,2019-07-25 00:00:00,2019-07-30,N,-,30488.0,30388.0,10000.0,2019-07-26 00:00:00,HSI,1907,0.00329077267342372,152.0,28633.18,1754.8199999999997,0.05774713702777411,1754.8199999999997,AQC,28716.6,28812.17,0.225,67140SG#HSI  RP1907U,151.0,0.0659275780635004,0.0,0.0,0.02699999999999997,33640.0,28.000000000000004,0.4912408759124088,1.0,0.789051094890511,0.0,0.0,1.0,-0.10666666666666669,21.499999999999996,0.061685575590425104,0.05820326918924948,True,14.33441293532338,0.4922048997772829,0.42464736451373425,,12.725857777777778,0.07,0.0,0.0,21.499999999999996,0.0
67791,HT#HSI  RP1910P,2019-08-26,0,0.0,0,0.0,200000,0.13,150000000,HKD,0.0,0.0,0.365,0,0,HT,HSI,Bear      ,Standard  ,R,2019-06-26,-,2019-10-30,N,-,29200.0,29100.0,10000.0,-,HSI,1910,0.003436426116838488,126.0,26179.33,2920.6699999999983,0.1003666666666666,2920.6699999999983,AQC,25322.0,25680.33,0.33,67791HT#HSI  RP1910P,65.0,0.125,0.0,0.0,0.0,0.0,39.0,0.45263754963131025,1.0,0.7816222348269994,0.0,0.0,1.0,0.10606060606060597,-0.02941176470588247,0.15314746070610535,0.1491983255667009,True,7.035706849315069,0.44068801897983395,1.0,0.0,7.933130303030303,0.13,0.0,0.0,0.0,-0.02941176470588247
60758,GS#HSI  RP1812T,2018-09-12,3290000,0.203815,-2000000,-0.1938,1900000,0.95,200000000,HKD,0.21,0.18899999999999997,0.196,5490000,1097550,GS,HSI,Bear      ,Standard  ,R,2018-09-06,2018-12-27 00:00:00,2018-12-28,N,-,28288.0,28188.0,10000.0,2018-12-31 00:00:00,HSI,1812,0.003547608911593586,113.0,26422.55,1765.4500000000007,0.06263126152972899,1765.4500000000007,AQC,26462.82,26345.04,0.195,60758GS#HSI  RP1812T,107.0,0.06928733031674209,-1300000.0000000002,-259893.44262295088,0.030999999999999972,1807920.0,380.0,0.35818005808325265,0.21006776379477252,0.9351403678606002,-260.0,260.0,0.18354430379746836,0.00512820512820511,0.12068965517241392,0.06897148527632355,0.06519259852124605,False,13.44134693877551,0.2930327868852459,0.18237704918032788,320.0,13.550025641025641,1.6,320.0,0.0,0.12068965517241392,0.0
65770,BP#HSI  RC1912N,2018-11-27,210000,0.17314300000000002,-160000,-0.166687,270000,0.11,250000000,HKD,0.17600000000000002,0.16399999999999998,0.16699999999999998,370000,63030,BP,HSI,Bull      ,Standard  ,R,2018-11-01,-,2019-12-30,N,-,24600.0,24700.0,10000.0,-,HSI,1912,0.004048582995951417,424.0,26376.18,-1676.1800000000003,0.06786153846153847,1676.1800000000003,AQC,26345.37,26331.96,0.174,65770BP#HSI  RC1912N,398.0,0.0678861788617886,-50000.00000000001,-8517.567567567568,0.032999999999999974,383430.0,55.0,0.5633223684210527,0.3782894736842105,0.7993421052631579,-10.0,10.0,0.4167385677308024,-0.04022988505747127,0.3700787401574799,0.06624959148419624,0.06245385811624582,False,15.767640718562875,0.5538079470198676,0.3443708609271523,-325.0,15.158724137931037,0.13,0.0,-325.0,0.3700787401574799,0.0
